|------|------------------|-------------|------------------|---------|
| size | avg runtime (ms) | improvement | iteration per us | passed? |
|------|------------------|-------------|------------------|---------|
|  128 |               34 |        0.33 |               61 |     yes |
|  256 |               30 |        1.43 |              555 |     yes |
|  512 |               33 |        5.12 |             4052 |     yes |
| 1024 |              132 |       32.18 |             8129 |     yes |
| 2048 |             1289 |       36.26 |             6659 |     yes |
|------|------------------|-------------|------------------|---------|
|------|------------------|-------------|------------------|---------|
| size | avg runtime (ms) | improvement | iteration per us | passed? |
|------|------------------|-------------|------------------|---------|
|  128 |               29 |        0.32 |               70 |     yes |
|  256 |               11 |        3.95 |             1439 |     yes |
|  512 |               78 |        3.05 |             1702 |     yes |
| 1024 |              137 |       32.70 |             7793 |     yes |
| 1235 |              235 |       42.75 |             8001 |     yes |
| 2048 |             1336 |       61.53 |             6429 |     yes |
|------|------------------|-------------|------------------|---------|
